,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,81.90,58.45,62.55,63.93,63.93,63.93,71.76,0.47,77.24,0.77
K MEANS++,83.03,61.07,64.33,65.62,65.69,65.66,73.56,0.47,77.29,0.76
K MEANS BISECT,75.79,45.54,45.61,46.91,48.45,47.67,63.69,0.38,58.31,0.87
HIERARCHY,80.92,56.22,61.13,62.54,62.60,62.57,70.27,0.47,76.17,0.77
FUZZY_C,83.03,61.07,64.33,65.62,65.69,65.66,73.56,0.47,77.29,0.76
SPECTRAL,84.31,64.08,66.58,67.68,67.96,67.82,75.64,0.47,77.09,0.76
DBSCAN AUTO,71.27,36.06,50.14,54.38,51.96,53.14,57.81,0.10,17.14,1.21
DBSCAN MANUAL,89.29,73.75,72.27,86.17,65.20,74.23,81.78,0.36,29.43,1.71
HDBSCAN MANUAL,76.92,54.68,69.58,58.73,89.67,70.98,74.96,0.47,36.44,0.54
MEAN SHIFT,84.46,64.15,66.41,70.25,66.38,68.26,75.54,0.48,66.03,0.61
OPTICS AUTO,81.45,55.76,56.59,64.26,54.44,58.94,69.06,0.38,40.49,3.91
AFFINITY,81.52,54.74,56.17,67.69,52.48,59.12,67.91,0.42,67.83,0.77
BIRCH,86.12,68.73,72.22,72.15,74.42,73.27,79.14,0.29,38.89,1.19
