,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,66.06,28.97,34.72,33.83,42.61,37.72,55.95,0.19,19.15,1.42
K MEANS++,66.06,28.97,34.72,33.83,42.61,37.72,55.95,0.19,19.15,1.42
K MEANS BISECT,66.06,28.97,34.72,33.83,42.61,37.72,55.95,0.19,19.15,1.42
HIERARCHY,69.98,35.12,43.49,43.29,48.64,45.81,58.43,0.15,17.86,1.62
FUZZY_C,68.63,29.55,35.98,37.70,39.18,38.43,53.09,0.12,15.25,1.86
SPECTRAL,69.23,30.40,30.21,32.45,33.23,32.84,53.34,0.05,8.08,2.22
DBSCAN AUTO,44.19,6.08,19.53,14.91,41.45,21.93,53.09,0.42,22.20,1.17
DBSCAN MANUAL,36.35,0.50,6.23,5.88,29.29,9.80,53.68,0.52,17.99,0.89
HDBSCAN MANUAL,43.44,4.38,15.60,14.91,34.43,20.81,51.82,0.23,12.69,1.42
MEAN SHIFT,36.20,0.18,2.89,5.88,25.11,9.53,53.45,0.46,11.38,0.68
OPTICS AUTO,33.48,0.08,0.07,1.99,23.04,3.67,55.56,-0.18,0.40,1.41
AFFINITY,42.84,3.00,7.16,14.91,27.58,19.36,50.80,0.26,8.11,0.71
BIRCH,86.12,68.73,72.22,72.15,74.42,73.27,79.14,-0.01,7.84,2.71
