,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,74.24,41.47,47.20,48.72,49.58,49.15,60.61,0.13,19.20,1.81
K MEANS++,74.24,41.47,47.20,48.72,49.58,49.15,60.61,0.13,19.20,1.81
K MEANS BISECT,74.89,43.52,46.30,47.44,49.20,48.30,62.35,0.00,15.52,1.99
HIERARCHY,73.51,40.53,44.23,45.44,47.24,46.32,60.42,0.00,15.81,2.05
FUZZY_C,80.12,54.64,55.87,57.20,57.78,57.49,69.36,0.09,21.97,1.70
SPECTRAL,56.46,0.19,0.29,3.91,3.92,3.91,32.28,-0.06,1.21,7.21
DBSCAN AUTO,71.19,35.61,45.69,50.45,47.28,48.81,57.33,-0.06,10.42,1.84
DBSCAN MANUAL,70.46,33.14,41.28,46.68,42.64,44.57,55.14,-0.06,10.61,1.93
HDBSCAN MANUAL,69.01,26.65,31.37,37.98,32.51,35.03,48.83,-0.09,9.64,4.18
MEAN SHIFT,75.25,42.90,46.41,56.84,47.01,51.46,61.03,-0.09,7.78,2.41
OPTICS AUTO,33.38,-0.07,-0.06,1.89,22.15,3.48,55.51,-0.19,0.25,1.74
AFFINITY,73.51,40.53,44.23,45.44,47.24,46.32,60.42,0.00,15.81,2.05
BIRCH,73.51,40.53,44.23,45.44,47.24,46.32,60.42,0.00,15.81,2.05
