,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,61.39,16.86,18.79,20.78,23.50,22.06,46.77,0.38,61.00,0.95
K MEANS++,61.39,16.86,18.79,20.78,23.50,22.06,46.77,0.38,61.00,0.95
K MEANS BISECT,61.61,19.10,21.78,23.17,27.12,24.99,49.31,0.39,59.39,0.96
HIERARCHY,61.61,19.10,21.78,23.17,27.12,24.99,49.31,0.39,59.39,0.96
FUZZY_C,61.97,17.65,20.00,21.99,24.47,23.17,46.99,0.37,60.88,0.97
SPECTRAL,66.33,24.35,23.53,25.92,26.86,26.38,49.60,0.17,31.71,1.41
DBSCAN AUTO,42.96,3.71,9.76,11.01,25.17,15.32,51.52,0.44,24.74,1.36
DBSCAN MANUAL,42.89,3.46,7.70,11.59,24.35,15.71,51.30,0.41,17.26,0.98
HDBSCAN MANUAL,43.11,3.95,10.62,11.59,26.50,16.13,51.67,0.41,25.20,1.21
MEAN SHIFT,52.98,15.89,25.52,20.08,43.18,27.41,55.79,0.50,58.71,0.78
OPTICS AUTO,54.72,11.14,16.40,17.55,23.73,20.17,48.02,0.00,12.22,1.25
AFFINITY,61.39,15.63,18.31,23.31,23.44,23.38,45.21,0.34,45.37,1.24
BIRCH,73.51,40.53,44.23,45.44,47.24,46.32,60.42,0.00,15.81,2.05
