,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,80.35,55.96,54.99,55.10,56.53,55.80,70.76,-0.08,16.48,2.65
K MEANS++,80.35,55.96,54.99,55.10,56.53,55.80,70.76,-0.08,16.48,2.65
K MEANS BISECT,75.93,46.43,50.84,50.80,52.72,51.74,64.67,-0.10,13.60,2.98
HIERARCHY,79.23,54.10,58.87,58.03,61.32,59.63,69.98,-0.09,17.98,2.03
FUZZY_C,79.80,54.18,51.73,52.50,52.68,52.59,69.22,-0.06,16.76,2.67
SPECTRAL,55.15,-1.64,-1.56,0.26,0.26,0.26,31.76,-0.06,1.44,10.67
DBSCAN AUTO,35.33,0.12,1.46,1.92,13.03,3.35,55.09,-0.24,1.26,2.09
DBSCAN MANUAL,42.91,2.83,6.25,5.15,13.80,7.50,51.28,-0.10,7.24,1.74
HDBSCAN MANUAL,64.89,21.32,31.93,35.14,32.44,33.73,47.74,-0.18,4.36,6.87
MEAN SHIFT,71.50,40.66,45.60,43.39,52.39,47.46,63.72,-0.19,9.60,2.39
OPTICS AUTO,33.35,0.00,0.00,0.96,19.62,1.83,56.63,0.04,0.55,1.11
AFFINITY,80.71,56.60,57.06,57.33,58.33,57.83,71.06,-0.07,17.32,2.47
BIRCH,79.23,54.10,58.87,58.03,61.32,59.63,69.98,-0.09,17.98,2.03
