,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,52.82,5.68,9.55,10.08,13.26,11.45,43.96,0.45,134.07,0.90
K MEANS++,52.62,5.50,8.83,9.44,12.57,10.78,43.99,0.46,134.52,0.87
K MEANS BISECT,52.77,7.16,10.75,11.04,14.68,12.60,45.83,0.39,113.17,1.08
HIERARCHY,46.89,3.54,8.29,8.34,14.22,10.51,48.09,0.51,117.02,0.89
FUZZY_C,54.71,7.01,10.84,11.44,14.18,12.66,43.28,0.42,132.18,0.92
SPECTRAL,56.87,4.24,8.61,10.06,10.52,10.28,36.95,0.07,70.61,3.79
DBSCAN AUTO,37.53,0.67,4.28,4.78,18.43,7.59,53.80,0.58,42.20,1.17
DBSCAN MANUAL,37.51,0.59,3.41,5.29,18.64,8.24,53.73,0.55,29.10,0.94
HDBSCAN MANUAL,37.56,0.71,5.03,5.29,20.01,8.37,53.82,0.55,42.82,1.16
MEAN SHIFT,43.32,2.95,8.06,7.73,16.76,10.58,51.03,0.50,81.46,1.00
OPTICS AUTO,53.68,7.08,6.16,5.85,9.28,7.18,44.64,0.32,67.52,0.98
AFFINITY,41.45,2.19,4.96,10.56,20.71,13.99,51.95,0.49,20.43,1.12
BIRCH,79.23,54.10,58.87,58.03,61.32,59.63,69.98,-0.09,17.98,2.03
