,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,50.07,0.14,0.11,0.80,0.80,0.80,49.65,0.16,28.42,1.63
K MEANS++,50.07,0.14,0.11,0.80,0.80,0.80,49.65,0.16,28.42,1.63
K MEANS BISECT,49.63,-0.73,-0.53,0.17,0.17,0.17,49.43,0.16,25.68,1.74
HIERARCHY,49.89,-0.18,-0.12,0.59,0.61,0.60,50.63,0.21,32.00,1.60
FUZZY_C,49.89,-0.22,-0.16,0.54,0.54,0.54,49.52,0.15,25.77,1.72
SPECTRAL,49.89,-0.22,-0.17,0.52,0.53,0.53,49.60,-0.01,1.18,7.72
DBSCAN AUTO,49.56,-0.07,-0.19,0.72,3.08,1.17,67.69,-0.24,1.26,2.09
DBSCAN MANUAL,50.33,0.51,0.19,1.64,1.18,1.37,45.91,-0.12,7.72,2.82
HDBSCAN MANUAL,50.18,0.07,1.35,3.95,2.30,2.91,41.36,-0.18,4.36,6.87
MEAN SHIFT,49.74,-0.50,-0.36,0.35,0.35,0.35,49.93,0.19,29.54,1.65
OPTICS AUTO,49.52,-0.04,-0.02,0.95,12.19,1.76,69.69,0.04,0.55,1.11
AFFINITY,49.63,-0.69,-0.56,0.16,0.16,0.16,50.60,0.05,19.01,1.73
BIRCH,49.98,-0.30,-0.05,1.34,0.90,1.07,42.21,-0.09,17.98,2.03
