,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,74.79,49.60,42.32,42.97,44.23,43.59,74.59,0.52,60.92,0.68
K MEANS++,74.79,49.60,42.32,42.97,44.23,43.59,74.59,0.52,60.92,0.68
K MEANS BISECT,74.79,49.60,42.32,42.97,44.23,43.59,74.59,0.52,60.92,0.68
HIERARCHY,63.70,27.63,26.14,26.43,29.41,27.84,65.31,0.51,53.35,0.65
FUZZY_C,74.79,49.60,42.32,42.97,44.23,43.59,74.59,0.52,60.92,0.68
SPECTRAL,74.79,49.60,42.32,42.97,44.23,43.59,74.59,0.52,60.92,0.68
DBSCAN AUTO,66.05,31.59,30.93,41.36,28.04,33.42,60.82,0.28,14.92,2.23
DBSCAN MANUAL,65.38,30.91,36.33,40.25,38.82,39.52,66.32,0.42,29.15,0.56
HDBSCAN MANUAL,67.73,35.31,34.15,42.09,32.80,36.87,65.86,0.42,31.05,1.78
MEAN SHIFT,74.79,49.60,42.32,42.97,44.23,43.59,74.59,0.52,60.92,0.68
OPTICS AUTO,67.06,34.42,40.30,38.86,45.00,41.70,69.36,0.45,30.39,0.72
AFFINITY,62.18,23.18,27.51,50.16,23.56,32.06,50.44,0.32,41.20,0.94
BIRCH,54.62,9.03,6.50,11.76,10.17,10.90,51.98,0.02,8.52,1.16
