,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,74.79,49.68,51.11,50.33,54.23,52.21,75.42,0.55,63.42,0.70
K MEANS++,74.79,49.68,51.11,50.33,54.23,52.21,75.42,0.55,63.42,0.70
K MEANS BISECT,74.79,49.68,51.11,50.33,54.23,52.21,75.42,0.55,63.42,0.70
HIERARCHY,74.79,49.68,51.11,50.33,54.23,52.21,75.42,0.55,63.42,0.70
FUZZY_C,74.79,49.68,51.11,50.33,54.23,52.21,75.42,0.55,63.42,0.70
SPECTRAL,79.16,58.37,57.42,56.98,59.83,58.37,79.31,0.54,63.23,0.70
DBSCAN AUTO,54.29,9.57,17.79,20.61,25.17,22.67,62.23,0.42,20.25,1.25
DBSCAN MANUAL,52.94,7.16,14.25,16.73,24.06,19.73,63.03,0.36,15.85,0.59
HDBSCAN MANUAL,66.89,33.62,37.03,50.33,34.44,40.90,64.91,0.39,33.44,1.41
MEAN SHIFT,73.11,46.09,47.75,56.98,44.40,49.91,71.56,0.48,49.79,0.92
OPTICS AUTO,81.68,63.33,58.85,64.48,57.56,60.83,81.11,0.28,30.18,0.99
AFFINITY,74.79,49.68,51.11,50.33,54.23,52.21,75.42,0.55,63.42,0.70
BIRCH,54.62,9.03,6.50,11.76,10.17,10.90,51.98,-0.22,3.10,1.89
