,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,73.10,-0.19,2.15,9.47,9.48,9.48,15.82,-0.13,9.83,6.03
K MEANS++,73.00,0.16,1.69,9.06,9.12,9.09,16.25,-0.14,9.73,5.36
K MEANS BISECT,73.70,3.00,7.03,13.98,14.09,14.03,18.69,-0.15,7.94,4.97
HIERARCHY,71.70,2.25,5.34,12.16,13.02,12.58,19.32,-0.21,9.69,4.04
FUZZY_C,71.56,1.06,3.60,10.40,11.17,10.77,18.20,-0.22,8.03,4.36
SPECTRAL,72.73,-1.18,-2.47,5.21,5.23,5.22,15.06,-0.17,0.58,10.01
DBSCAN AUTO,21.17,0.15,0.21,3.97,33.09,7.09,38.55,-0.40,0.44,1.47
DBSCAN MANUAL,42.00,0.03,-0.08,3.05,7.86,4.40,31.41,-0.21,1.68,9.21
HDBSCAN MANUAL,69.18,1.74,3.82,9.29,10.87,10.01,20.44,-0.16,8.98,5.22
MEAN SHIFT,53.46,-1.07,-1.29,6.27,11.54,8.13,25.61,-0.31,4.08,1.25
OPTICS AUTO,17.33,0.11,0.17,1.05,34.96,2.04,39.65,0.04,0.55,1.11
AFFINITY,68.22,1.98,5.72,10.93,13.09,11.91,21.27,-0.08,16.89,5.70
BIRCH,71.70,2.25,5.34,12.16,13.02,12.58,19.32,-0.21,9.69,4.04
