,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,69.73,-0.01,2.76,10.14,11.07,10.58,18.30,0.14,83.46,1.66
K MEANS++,60.97,0.07,2.04,9.30,12.47,10.65,23.31,0.29,84.66,1.54
K MEANS BISECT,62.60,0.19,2.44,9.14,11.88,10.33,22.60,0.05,77.16,1.34
HIERARCHY,60.64,0.62,5.06,11.67,16.10,13.53,24.05,0.31,83.26,1.51
FUZZY_C,70.31,0.45,2.91,10.26,11.14,10.68,18.39,0.15,84.95,1.64
SPECTRAL,73.59,2.78,3.38,10.61,10.71,10.66,18.53,0.01,27.63,3.96
DBSCAN AUTO,24.87,0.17,1.30,6.84,33.87,11.38,37.42,0.54,15.12,0.42
DBSCAN MANUAL,21.06,0.11,2.08,2.67,29.55,4.90,38.53,0.62,44.99,0.48
HDBSCAN MANUAL,24.91,0.35,4.70,5.64,34.77,9.71,37.63,0.55,42.82,1.16
MEAN SHIFT,31.94,0.16,1.06,2.15,9.79,3.52,35.11,0.60,127.52,0.67
OPTICS AUTO,26.96,-0.01,0.00,3.19,16.23,5.33,36.54,-0.18,20.74,1.03
AFFINITY,30.51,-0.10,-0.39,7.83,25.01,11.93,35.27,0.49,20.43,1.12
BIRCH,71.70,2.25,5.34,12.16,13.02,12.58,19.32,-0.21,9.69,4.04
