,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.38,16.69,0.90
K MEANS++,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.38,16.69,0.90
K MEANS BISECT,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.38,16.69,0.90
HIERARCHY,47.06,-5.15,-4.85,0.61,0.69,0.65,48.75,0.28,8.73,1.13
FUZZY_C,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.38,16.69,0.90
SPECTRAL,51.47,2.77,2.55,7.11,7.26,7.19,49.24,0.07,2.19,2.45
DBSCAN AUTO,50.74,0.87,7.88,19.27,14.91,16.81,46.41,0.06,4.92,3.45
DBSCAN MANUAL,51.47,1.75,7.75,19.15,13.81,16.05,44.23,0.03,4.99,3.42
HDBSCAN MANUAL,47.06,-5.15,-4.85,0.61,0.69,0.65,48.75,0.28,8.73,1.13
MEAN SHIFT,48.53,-2.76,-1.90,3.03,3.22,3.12,47.81,0.38,16.69,0.90
OPTICS AUTO,47.79,-4.68,-4.30,6.89,5.89,6.35,44.96,-0.10,4.31,1.37
AFFINITY,47.79,-6.91,-6.64,2.07,1.32,1.61,33.19,0.12,8.08,1.40
BIRCH,47.06,-5.15,-4.85,0.61,0.69,0.65,48.75,0.28,8.73,1.13
