,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,61.76,23.26,17.29,21.17,21.17,21.17,59.37,0.39,17.85,0.84
K MEANS++,61.76,23.26,17.29,21.17,21.17,21.17,59.37,0.39,17.85,0.84
K MEANS BISECT,51.47,2.77,2.55,7.11,7.26,7.19,49.24,0.37,16.97,0.90
HIERARCHY,61.76,23.26,17.29,21.17,21.17,21.17,59.37,0.39,17.85,0.84
FUZZY_C,51.47,2.77,2.55,7.11,7.26,7.19,49.24,0.37,16.97,0.90
SPECTRAL,61.76,23.26,17.29,21.17,21.17,21.17,59.37,0.39,17.85,0.84
DBSCAN AUTO,53.68,8.38,16.73,26.31,26.83,26.57,56.94,0.35,9.90,0.68
DBSCAN MANUAL,58.82,15.90,19.76,33.10,21.69,26.21,49.00,0.34,18.30,0.96
HDBSCAN MANUAL,58.82,15.90,19.76,33.10,21.69,26.21,49.00,0.34,18.30,0.96
MEAN SHIFT,55.88,12.97,25.09,26.31,33.34,29.41,60.01,0.46,17.59,0.75
OPTICS AUTO,58.82,15.90,19.76,33.10,21.69,26.21,49.00,0.34,18.30,0.96
AFFINITY,58.82,15.90,19.76,33.10,21.69,26.21,49.00,0.34,18.30,0.96
BIRCH,58.82,14.08,29.38,71.37,29.08,41.33,39.13,-0.07,4.36,1.74
