,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,77.78,48.39,59.10,65.97,77.35,71.21,64.72,0.32,18.92,0.64
K MEANS++,77.78,48.39,59.10,65.97,77.35,71.21,64.72,0.32,18.92,0.64
K MEANS BISECT,58.33,11.76,18.73,38.63,50.00,43.58,41.67,0.33,17.69,0.55
HIERARCHY,77.78,48.39,59.10,65.97,77.35,71.21,64.72,0.32,18.92,0.64
FUZZY_C,77.78,48.39,59.10,65.97,77.35,71.21,64.72,0.32,18.92,0.64
SPECTRAL,75.00,35.71,40.87,57.94,60.00,58.95,52.70,0.24,4.60,1.01
DBSCAN AUTO,44.44,-2.56,-2.35,23.61,37.94,29.11,36.37,0.14,10.66,0.47
DBSCAN MANUAL,36.11,0.00,-0.00,12.44,39.18,18.88,44.10,0.62,17.29,0.20
HDBSCAN MANUAL,86.11,58.33,60.70,85.98,69.00,76.56,68.04,0.15,2.89,0.98
MEAN SHIFT,77.78,48.39,59.10,65.97,77.35,71.21,64.72,0.32,18.92,0.64
OPTICS AUTO,75.00,25.00,31.87,66.67,53.50,59.36,40.82,-0.00,1.06,1.57
AFFINITY,77.78,48.39,59.10,65.97,77.35,71.21,64.72,0.32,18.92,0.64
BIRCH,69.44,35.29,50.12,57.94,75.00,65.37,58.33,-0.11,0.24,2.39
