,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,69.44,26.67,32.78,49.21,56.02,52.40,48.11,0.17,4.98,1.04
K MEANS++,69.44,26.67,32.78,49.21,56.02,52.40,48.11,0.17,4.98,1.04
K MEANS BISECT,69.44,35.29,50.12,57.94,75.00,65.37,58.33,0.19,4.68,0.96
HIERARCHY,69.44,26.67,32.78,49.21,56.02,52.40,48.11,0.17,4.98,1.04
FUZZY_C,69.44,26.67,32.78,49.21,56.02,52.40,48.11,0.17,4.98,1.04
SPECTRAL,58.33,11.76,18.73,38.63,50.00,43.58,41.67,0.06,3.08,0.89
DBSCAN AUTO,52.78,5.56,7.49,19.31,33.33,24.46,39.28,0.07,1.99,1.46
DBSCAN MANUAL,75.00,50.00,67.39,57.94,100.00,73.37,70.71,0.26,4.26,1.25
HDBSCAN MANUAL,36.11,0.00,-0.00,12.44,39.18,18.88,44.10,-0.17,0.51,1.18
MEAN SHIFT,36.11,0.00,-0.00,12.44,39.18,18.88,44.10,0.40,5.20,0.38
OPTICS AUTO,36.11,0.00,-0.00,12.44,39.18,18.88,44.10,-0.17,0.51,1.18
AFFINITY,36.11,0.00,-0.00,12.44,39.18,18.88,44.10,0.40,5.20,0.38
BIRCH,36.11,0.00,-0.00,12.44,39.18,18.88,44.10,-0.08,0.58,1.09
