,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,71.57,-0.85,0.22,15.40,16.70,16.02,16.12,0.36,67.28,0.78
K MEANS++,71.57,-1.61,-0.46,14.85,16.04,15.42,15.35,0.36,66.97,0.78
K MEANS BISECT,68.70,-4.04,-6.20,10.29,11.62,10.92,14.65,0.41,65.70,0.77
HIERARCHY,68.25,-3.02,-2.40,12.89,14.96,13.85,15.94,0.37,61.71,0.73
FUZZY_C,73.00,-2.05,-2.10,15.04,15.29,15.16,13.95,0.34,59.26,0.92
SPECTRAL,72.47,-1.82,-1.36,15.45,15.98,15.71,14.54,0.36,58.44,0.85
DBSCAN AUTO,71.95,-3.57,-3.63,16.46,16.41,16.44,13.11,0.28,18.67,2.46
DBSCAN MANUAL,48.64,-2.61,-4.24,4.17,9.25,5.75,25.18,0.30,26.72,0.54
HDBSCAN MANUAL,46.91,-2.52,-4.22,2.23,5.54,3.18,25.92,0.47,36.44,0.54
MEAN SHIFT,66.74,-5.75,-8.63,6.95,8.35,7.59,14.02,0.40,58.48,0.71
OPTICS AUTO,79.34,3.02,7.60,41.06,30.88,35.25,14.35,0.12,10.79,1.42
AFFINITY,70.81,-2.38,-1.90,13.70,14.95,14.30,15.05,0.36,64.30,0.83
BIRCH,70.51,0.94,9.05,23.38,25.74,24.50,18.61,-0.03,17.56,2.41
