,Rand_Index,Adj_Rand_Index,MMI,Homogeneity,Completness,V Measure,Geometric Mean,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score
K MEANS,61.16,-0.08,1.50,14.82,21.06,17.40,22.61,0.09,9.85,1.54
K MEANS++,64.63,-0.09,0.41,14.72,18.87,16.54,20.88,0.07,11.70,1.68
K MEANS BISECT,69.46,-2.60,-4.02,12.73,14.13,13.39,15.65,0.03,9.63,2.22
HIERARCHY,65.46,-3.11,-3.81,11.37,14.15,12.61,17.37,0.08,11.84,1.85
FUZZY_C,65.16,-0.23,0.53,9.86,13.81,11.50,20.45,0.08,13.93,2.20
SPECTRAL,74.28,1.43,1.72,18.20,18.36,18.28,16.63,-0.00,5.16,2.89
DBSCAN AUTO,33.18,0.62,0.41,12.80,36.31,18.93,34.28,0.23,7.06,0.58
DBSCAN MANUAL,28.36,0.45,0.57,10.19,38.65,16.13,35.61,0.27,7.00,0.42
HDBSCAN MANUAL,32.88,0.95,2.95,7.69,28.91,12.15,34.78,0.23,12.69,1.42
MEAN SHIFT,20.29,-0.16,-0.63,2.36,25.93,4.33,37.27,0.54,14.04,0.81
OPTICS AUTO,18.10,0.32,0.49,2.23,41.90,4.23,38.52,-0.18,0.40,1.41
AFFINITY,33.18,0.78,2.30,12.24,36.86,18.38,34.47,0.26,8.11,0.71
BIRCH,70.51,0.94,9.05,23.38,25.74,24.50,18.61,-0.10,3.85,3.27
